,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,13,7,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,7,9,9,10,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,8,10,13,13,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,4,8,14,10,9,7,5,1,0,2,0,0,0,0,0,0,0,0,0,0
5,0,3,2,9,8,10,14,3,4,2,1,0,0,0,0,0,0,0,0,0,0
6,0,1,2,10,6,11,8,6,7,2,1,2,1,0,0,0,0,0,0,0,0
7,0,0,1,5,8,6,5,10,2,3,1,1,0,0,0,0,0,0,0,0,0
8,1,1,1,2,2,4,3,2,4,6,4,5,1,0,0,0,0,0,0,0,0
9,2,0,0,0,2,2,0,4,6,6,4,6,1,0,1,0,0,0,0,0,0
10,0,0,0,0,1,1,2,2,2,6,0,2,1,0,0,0,0,0,0,0,0
11,0,0,0,1,0,2,1,5,3,2,5,4,1,1,1,0,0,0,0,0,0
12,0,0,0,0,0,1,1,2,2,1,1,2,1,1,0,1,0,0,1,0,0
13,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
14,0,0,0,0,0,0,0,1,1,1,0,0,1,0,3,1,1,0,0,0,0
15,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,1,0,1
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
