,edge_i,edge_j,wave,n_edges_i,n_edges_j,n_transitions_ij,n_transitions_ji,relative_error
0,+1+0,+0+0,0,1145.0,57792.0,459.0,311.0,3.009986916629509
1,+1+1,+0+0,1,674.0,59635.0,119.0,209.0,3.475142918329444
2,+1+0,+0+0,1,1035.0,59635.0,412.0,525.0,2.337036992807119
3,+1+0,-1+0,1,1035.0,171.0,0.0,7.0,2.2580827466416857
4,+2+2,+1+0,2,646.0,1488.0,8.0,30.0,2.420173141029936
5,+2+2,+0+0,2,646.0,108351.0,11.0,42.0,3.1082001975443765
6,+2+1,+0+0,2,384.0,108351.0,15.0,48.0,2.971028570796436
7,+1+2,+0+0,2,294.0,108351.0,12.0,60.0,4.20580435152191
8,+1+1,+0+0,2,946.0,108351.0,115.0,245.0,4.713094248481694
9,+2+0,+0+0,2,255.0,108351.0,29.0,69.0,2.544374086731811
10,+1+0,+0+0,2,1488.0,108351.0,477.0,599.0,2.273318479298239
11,+0+1,+0+0,2,1222.0,108351.0,377.0,564.0,3.549105131290068
12,+0+0,+0-1,2,108351.0,205.0,150.0,98.0,2.1438049887429163
13,+0+0,-1+0,2,108351.0,174.0,143.0,80.0,2.7670098252714337
14,+0+0,-1-2,2,108351.0,9.0,5.0,0.0,2.232622754169417
15,+0+0,-2+1,2,108351.0,5.0,10.0,1.0,2.167435978914277
16,+2+2,+2+0,3,723.0,275.0,65.0,20.0,2.7569926571360837
17,+2+2,+0+2,3,723.0,254.0,58.0,17.0,2.7291380452270437
18,+2+1,+0+1,3,355.0,1295.0,38.0,12.0,2.266685835892985
19,+2+2,+2+0,4,581.0,370.0,20.0,50.0,2.520178415592573
20,+2+2,+0+0,4,581.0,113966.0,13.0,34.0,2.8042888399562655
21,+2+1,+0+0,4,287.0,113966.0,12.0,53.0,4.3383507857896015
22,+1+2,+0+0,4,291.0,113966.0,20.0,36.0,2.3844504193580836
23,+1+1,+0+0,4,915.0,113966.0,139.0,230.0,5.064998296481466
24,+1+0,+0+0,4,1690.0,113966.0,459.0,436.0,2.047643402563749
25,+0+1,+0+0,4,1432.0,113966.0,397.0,445.0,4.045443077416102
26,+2+2,+0+0,5,713.0,105684.0,11.0,38.0,2.682112417134379
27,+2+1,+0+0,5,340.0,105684.0,17.0,40.0,2.1006107048133895
28,+1+1,+0+0,5,1014.0,105684.0,88.0,181.0,3.5621717709856187
29,+1+1,+0-1,5,1014.0,245.0,6.0,0.0,2.283912945601936
30,+0+2,+0+1,5,342.0,1425.0,54.0,21.0,2.3173773264581636
31,+0+2,+0+0,5,342.0,105684.0,59.0,112.0,2.244833556575519
32,+0+2,-1+2,5,342.0,5.0,0.0,2.0,2.236117636448628
33,+0+1,+0+0,5,1425.0,105684.0,417.0,595.0,2.799368097748279
34,+0+1,-2+0,6,1461.0,109.0,5.0,0.0,2.1180557106243603
35,+1+1,+0+0,7,852.0,88623.0,130.0,173.0,3.681296391982498
36,+1+0,+0+0,7,1401.0,88623.0,388.0,413.0,2.366968131201795
37,+1+0,+2-2,7,1401.0,4.0,0.0,1.0,2.0000421820789485
38,+0+0,-2+1,7,88623.0,4.0,0.0,1.0,2.0000421820789485
39,+2+2,+0+0,8,824.0,115842.0,19.0,53.0,2.6782095438138973
40,+1+1,+0+0,8,1025.0,115842.0,132.0,218.0,2.9634597538031913
